id,title,genre
399579,Alita: Battle Angel,"Action,Science Fiction,Adventure"
9479,The Nightmare Before Christmas,"Fantasy,Animation,Family"
68724,Elysium,"Science Fiction,Action,Drama,Thriller"
138832,We're the Millers,"Comedy,Crime"
318846,The Big Short,"Comedy,Drama"
45269,The King's Speech,"Drama,History"
176,Saw,"Horror,Mystery,Crime"
87,Indiana Jones and the Temple of Doom,"Adventure,Action"
564,The Mummy,"Adventure,Action,Fantasy"
810,Shrek the Third,"Fantasy,Adventure,Animation,Comedy,Family"
76492,Hotel Transylvania,"Animation,Comedy,Family,Fantasy"
109439,The Hangover Part III,Comedy
4935,Howl's Moving Castle,"Fantasy,Animation,Adventure"
107,Snatch,"Crime,Comedy"
281338,War for the Planet of the Apes,"Drama,Science Fiction,War"
620,Ghostbusters,"Comedy,Fantasy"
152532,Dallas Buyers Club,"Drama,History"
177677,Mission: Impossible - Rogue Nation,"Action,Adventure"
423,The Pianist,"Drama,War"
438631,Dune,"Science Fiction,Adventure"
577922,Tenet,"Action,Thriller,Science Fiction"
156022,The Equalizer,"Thriller,Action,Crime"
337404,Cruella,"Comedy,Crime"
87101,Terminator Genisys,"Science Fiction,Action,Thriller,Adventure"
158015,The Purge,"Science Fiction,Horror,Thriller"
10625,Mean Girls,Comedy
254128,San Andreas,"Action,Drama,Thriller"
3933,Corpse Bride,"Romance,Fantasy,Animation"
300668,Annihilation,"Science Fiction,Horror"
314365,Spotlight,"Drama,History"
328111,The Secret Life of Pets,"Adventure,Comedy,Animation,Family"
180,Minority Report,"Action,Thriller,Science Fiction,Mystery"
68734,Argo,"Drama,Thriller"
348350,Solo: A Star Wars Story,"Science Fiction,Adventure,Action"
8373,Transformers: Revenge of the Fallen,"Science Fiction,Action,Adventure"
126889,Alien: Covenant,"Horror,Science Fiction,Mystery"
278927,The Jungle Book,"Family,Adventure,Drama,Fantasy"
402900,Ocean's Eight,"Crime,Comedy,Action"
954,Mission: Impossible,"Adventure,Action,Thriller"
664413,365 Days,"Romance,Drama"
537915,After,"Romance,Drama"
391713,Lady Bird,"Drama,Comedy"
315837,Ghost in the Shell,"Science Fiction,Action"
58595,Snow White and the Huntsman,"Adventure,Fantasy,Drama"
38700,Bad Boys for Life,"Thriller,Action,Crime"
474350,It Chapter Two,"Horror,Fantasy"
512200,Jumanji: The Next Level,"Adventure,Comedy,Fantasy"
450465,Glass,"Thriller,Drama,Science Fiction"
273481,Sicario,"Action,Crime,Thriller"
38356,Transformers: Dark of the Moon,"Action,Science Fiction,Adventure"
339846,Baywatch,"Comedy,Action,Crime"
50646,"Crazy, Stupid, Love.","Comedy,Drama,Romance"
8355,Ice Age: Dawn of the Dinosaurs,"Animation,Comedy,Family,Adventure"
122906,About Time,"Drama,Romance,Fantasy"
568124,Encanto,"Animation,Comedy,Family,Fantasy"
747,Shaun of the Dead,"Horror,Comedy"
330,The Lost World: Jurassic Park,"Adventure,Action,Science Fiction"
74,War of the Worlds,"Adventure,Thriller,Science Fiction"
45612,Source Code,"Thriller,Science Fiction,Mystery"
63,Twelve Monkeys,"Science Fiction,Thriller,Mystery"
464052,Wonder Woman 1984,"Action,Adventure,Fantasy"
187017,22 Jump Street,"Crime,Comedy,Action"
337167,Fifty Shades Freed,"Drama,Romance"
259693,The Conjuring 2,"Horror,Thriller"
406997,Wonder,"Drama,Family"
198184,Chappie,"Crime,Action,Science Fiction"
50544,Friends with Benefits,"Romance,Comedy"
121856,Assassin's Creed,"Action,Adventure,Science Fiction"
566525,Shang-Chi and the Legend of the Ten Rings,"Action,Adventure,Fantasy"
2108,The Breakfast Club,"Comedy,Drama"
187,Sin City,"Thriller,Action,Crime"
1979,Fantastic Four: Rise of the Silver Surfer,"Adventure,Fantasy,Action,Thriller"
335797,Sing,"Animation,Comedy,Family,Music"
35,The Simpsons Movie,"Animation,Comedy,Family"
51497,Fast Five,"Action,Thriller,Crime"
39254,Real Steel,"Action,Science Fiction,Drama"
670,Oldboy,"Drama,Thriller,Mystery,Action"
91314,Transformers: Age of Extinction,"Science Fiction,Action,Adventure"
256591,Focus,"Romance,Comedy,Crime,Drama"
217,Indiana Jones and the Kingdom of the Crystal Skull,"Adventure,Action"
341174,Fifty Shades Darker,"Drama,Romance"
338970,Tomb Raider,"Action,Adventure,Fantasy"
429,"The Good, the Bad and the Ugly",Western
435,The Day After Tomorrow,"Action,Adventure,Science Fiction,Thriller"
95,Armageddon,"Action,Thriller,Science Fiction,Adventure"
333371,10 Cloverfield Lane,"Thriller,Science Fiction,Drama,Horror"
353081,Mission: Impossible - Fallout,"Action,Adventure"
254,King Kong,"Adventure,Drama,Action"
137106,The Lego Movie,"Adventure,Animation,Comedy,Family,Fantasy"
10764,Quantum of Solace,"Adventure,Action,Thriller,Crime"
22970,The Cabin in the Woods,"Horror,Comedy,Fantasy,Thriller"
28,Apocalypse Now,"Drama,War"
4348,Pride & Prejudice,"Drama,Romance"
27578,The Expendables,"Thriller,Adventure,Action"
116745,The Secret Life of Walter Mitty,"Adventure,Comedy,Drama,Fantasy"
340666,Nocturnal Animals,"Drama,Thriller"
4951,10 Things I Hate About You,"Comedy,Romance,Drama"
454983,The Kissing Booth,"Romance,Comedy"
2105,American Pie,"Comedy,Romance"
389,12 Angry Men,Drama
257344,Pixels,"Action,Comedy,Science Fiction"
290250,The Nice Guys,"Comedy,Crime,Action"
10144,The Little Mermaid,"Animation,Family,Fantasy"
2503,The Bourne Ultimatum,"Action,Drama,Mystery,Thriller"
50014,The Help,Drama
594,The Terminal,"Comedy,Drama"
114,Pretty Woman,"Romance,Comedy"
57800,Ice Age: Continental Drift,"Animation,Comedy,Adventure,Family"
487558,BlacKkKlansman,"Comedy,Crime,Drama,History"
508943,Luca,"Animation,Comedy,Family,Fantasy"
336843,Maze Runner: The Death Cure,"Science Fiction,Action,Adventure,Thriller"
275,Fargo,"Crime,Drama,Thriller"
44115,127 Hours,"Adventure,Drama,Thriller"
22538,Scott Pilgrim vs. the World,"Action,Comedy,Romance"
32657,Percy Jackson & the Olympians: The Lightning Thief,"Adventure,Fantasy,Family"
339964,Valerian and the City of a Thousand Planets,"Adventure,Science Fiction,Action"
137,Groundhog Day,"Romance,Fantasy,Drama,Comedy"
128,Princess Mononoke,"Adventure,Fantasy,Animation"
9552,The Exorcist,Horror
268,Batman,"Fantasy,Action"
436969,The Suicide Squad,"Action,Comedy,Adventure,Science Fiction"
2502,The Bourne Supremacy,"Action,Drama,Thriller"
49013,Cars 2,"Animation,Family,Adventure,Comedy"
1372,Blood Diamond,"Drama,Thriller,Action"
168672,American Hustle,"Drama,Crime"
404368,Ralph Breaks the Internet,"Family,Animation,Comedy,Adventure"
47971,xXx: Return of Xander Cage,"Action,Adventure,Crime"
62213,Dark Shadows,"Comedy,Fantasy"
59436,Midnight in Paris,"Fantasy,Comedy,Romance"
150689,Cinderella,"Romance,Fantasy,Family,Drama"
223702,Sausage Party,"Adventure,Animation,Comedy,Fantasy"
44912,Green Lantern,"Adventure,Action,Thriller,Science Fiction"
408,Snow White and the Seven Dwarfs,"Fantasy,Animation,Family"
106,Predator,"Science Fiction,Action,Adventure,Thriller"
295693,The Boss Baby,"Animation,Comedy,Family"
214756,Ted 2,Comedy
4638,Hot Fuzz,"Crime,Action,Comedy"
300669,Don't Breathe,"Thriller,Horror"
8392,My Neighbor Totoro,"Fantasy,Animation,Family"
